0.0044 0.524355 0.0433316 -1.13019 0 0.163918 -0.318267 -1.68793 6.93889e-10 0.039645 -0.405987
0.0045 0.52004 0.152556 -1.03637 -3.46945e-10 0.200972 -0.24474 -1.60397 -6.93889e-10 0.0498049 -0.355656
0.0046 0.515815 0.258648 -0.945848 3.46945e-10 0.237174 -0.173386 -1.52337 0 0.0597702 -0.306753
0.0047 0.511677 0.361837 -0.85841 0 0.272591 -0.104066 -1.44589 6.93889e-10 0.0695566 -0.259194
0.0048 0.507622 0.462335 -0.773841 -3.46945e-10 0.307287 -0.0366464 -1.37133 -6.93889e-10 0.0791791 -0.212903
0.0049 0.503646 0.560337 -0.691947 0 0.341318 0.0289936 -1.29951 6.93889e-10 0.0886517 -0.167809
0.005 0.499748 0.656026 -0.612549 322499 0.374739 0.0929678 -1.23024 -6.93889e-10 0.0979876 -0.123845
0.0051 0.495924 0.74957 -0.535481 -375413 0.407601 0.155382 -1.16336 0 0.107199 -0.0809469
0.0052 0.49217 0.841126 -0.460586 24947.3 0.43995 0.216335 -1.09872 6.93889e-10 0.116299 -0.0390556
0.0053 0.488486 0.930841 -0.387722 9432.99 0.471833 0.27592 -1.03619 -6.93889e-10 0.125298 0.00188469
0.0054 0.484867 1.01885 -0.316753 4914.71 0.50329 0.334223 -0.975619 6.93889e-10 0.134206 0.0419265
0.0055 0.481312 1.10529 -0.247556 3001.52 0.534361 0.391324 -0.916899 -6.93889e-10 0.143035 0.0811195
0.0056 0.477819 1.19027 -0.180013 2016.91 0.565085 0.447301 -0.859914 0 0.151793 0.11951
0.0057 0.474385 1.2739 -0.114014 1444.67 0.595495 0.502225 -0.804557 6.93889e-10 0.16049 0.157143
0.0058 0.471009 1.3563 -0.0494564 1083.16 0.625627 0.556163 -0.75073 -6.93889e-10 0.169135 0.19406
0.0059 0.467689 1.43756 0.0137557 840.465 0.655512 0.609179 -0.698339 0 0.177736 0.2303
0.006 0.464422 1.51778 0.0757132 669.803 0.68518 0.661333 -0.647298 6.93889e-10 0.186302 0.265901
0.0061 0.461208 1.59704 0.136501 545.338 0.714661 0.712681 -0.597524 -6.93889e-10 0.194841 0.300898
0.0062 0.458044 1.67543 0.196201 451.856 0.743982 0.763277 -0.54894 0 0.20336 0.335325
0.0063 0.45493 1.75303 0.254888 379.92 0.77317 0.813171 -0.501475 6.93889e-10 0.211867 0.369214
0.0064 0.451862 1.82991 0.312634 323.428 0.802249 0.862412 -0.455059 -6.93889e-10 0.220368 0.402595
0.0065 0.448841 1.90615 0.369507 278.293 0.831246 0.911046 -0.409628 6.93889e-10 0.228872 0.435497
0.0066 0.445865 1.98181 0.425572 241.692 0.860182 0.959115 -0.365121 -6.93889e-10 0.237383 0.467947
0.0067 0.442933 2.05696 0.48089 211.625 0.889081 1.00666 -0.32148 0 0.245911 0.499972
0.0068 0.440042 2.13166 0.535519 186.644 0.917965 1.05372 -0.278651 6.93889e-10 0.254459 0.531597
0.0069 0.437193 2.20598 0.589516 165.68 0.946854 1.10034 -0.236581 -6.93889e-10 0.263036 0.562846
0.007 0.434384 2.27996 0.642932 147.93 0.975771 1.14654 -0.195221 6.93889e-10 0.271646 0.593741
0.0071 0.431614 2.35366 0.695819 132.779 1.00473 1.19237 -0.154524 -6.93889e-10 0.280297 0.624305
0.0072 0.428881 2.42714 0.748225 119.755 1.03376 1.23786 -0.114445 0 0.288994 0.654558
0.0073 0.426186 2.50045 0.800196 108.484 1.06287 1.28304 -0.074942 6.93889e-10 0.297743 0.68452
0.0074 0.423526 2.57363 0.851777 98.6736 1.09209 1.32793 -0.0359733 -6.93889e-10 0.30655 0.714211
